Store_ID,Suburb,Street,Postcode,Lat,Lon,Type
503060,Underwood QLD,21 Kingston Road,4119,-27.608791,153.110233,Store
503068,Runaway Bay QLD,10-12 Lae Drive,4216,-27.913894,153.401177,Store
503094,Upper Mt Gravatt QLD,Cnr Kessels & Logan Rds,4122,-27.564515,153.083883,Store
503110,Armidale NSW,95 Barney Street,2350,-30.517034,151.669279,Store
503109,Elanora QLD,30 Guineas Creek Rd,4221,-28.134269,153.46768,Store
503074,Redbank QLD,1 Collingwood Drive,4031,-27.605473,152.867808,Store
503072,Byron Bay NSW,Cnr Byron & Fletcher Sts,2481,-28.643337,153.612903,Store
503084,Harlaxton QLD,1-7 Parrot Street,4350,-27.540723,151.952173,Store
503098,Acacia Ridge  QLD,1150 Beaudesert Rd,4110,-27.574682,153.026001,Store
503078,Oxenford QLD,2 Global Plaza,4210,-27.889023,153.313226,Store
503085,Varsity Lakes QLD,1 South Bay Drive,4227,-28.085472,153.409093,Store
503092,Burleigh Heads QLD,149 West Burleigh Road,4220,-28.096697,153.441303,Store
503095,Mt Gravatt East QLD,489 Creek Road,4122,-27.526975,153.096738,Store
503106,Molendinar QLD,562 Olsen Avenue,4214,-27.976022,153.380002,Store
503101,Stanthorpe QLD,Cnr Lock and  Davadi Street,4380,-28.655141,151.936873,Store
503105,Miami QLD,2023-2031 Gold Coast Hwy,4220,-28.073546,153.444972,Store
503102,Goonellabah NSW,15 Simeoni Drive,2480,-28.821203,153.326725,Store
503107,Drewvale QLD,27 Illaweena Street,4116,-27.6393,153.046116,Store
503108,Redbank Plains QLD,Cnr Argyle/Redbank Plain Rd,4301,-27.644908,152.869844,Store
503008,Hope Island QLD,99-103 Broadwater Avenue,4212,-27.877316,153.36396,Store
503011,Pimpama QLD,102 Pimpama Jacobs Well Rd,4209,-27.813119,153.292253,Store
503017,Plainland QLD,2 Endeavour Way,4341,-27.5622,152.42401,Store
503112,Brassall QLD,68 Hunter Street,4305,-27.596949,152.747107,Store
503111,Inala QLD,Cnr Inala & Corsair Ave,4077,-27.598125,152.97413,Store
503016,Highfields QLD,73 Highfields Road,4352,-27.45223,151.94332,Store
503005,Dalby QLD,34 Archibald Street,4405,-27.18126,151.263493,Store
503001,Torrington QLD,546 Bridge Street,4350,-27.535965,151.904611,Store
503022,Tweed Mall NSW,16-32 Wharf Street,2485,-28.171113,153.544253,Store
503035,Moonee Beach NSW,2B Moonee Beach Road,2450,-30.2049,153.15088,Store
504001,Bankstown NSW,Henry Lawson & Milperra Rd,2200,-33.92828556,150.9811847,Store
504002,Marrickville NSW,Marrickville Metro S/Centre,2204,-33.90642,151.17102,Store
504003,Blair Athol NSW,Blaxland Rd/The Kraal Dr,2560,-34.06325,150.80688,Store
504005,Fairfield West NSW,370 Hamilton Rd,2165,-33.86902,150.92352,Store
504006,Villawood NSW,2 Villawood Road,2163,-33.88201,150.97703,Store
504008,Nowra NSW,8-16 Kinghorne Street,2541,-34.87362,150.60354,Store
504016,Shellharbour NSW,5 Holm Place,2529,-34.5629146,150.8371119,Store
504011,Bonnyrigg NSW,718 Cabramatta Rd,2177,-33.8934594,150.8903898,Store
504012,Queanbeyan NSW,134-136 Crawford Street,2620,-35.34828,149.23127,Store
504015,Wollongong NSW,25 Stewart Street,2521,-34.4282543,150.8984211,Store
504018,Fairy Meadow NSW,102-110 Princess Highway,2519,-34.39383,150.89357,Store
504019,Tuggeranong ACT,Cnr Anketell St& Soward Way,2900,-35.41794,149.06867,Store
504021,Mt Annan NSW,Waterworth Dr & Main St,2567,-34.05043,150.75935,Store
504022,Bankstown NSW,440-450 Chapel Road,2200,-33.91426,151.03477,Store
504026,Dapto NSW,38 Osborne Street,2530,-34.49292,150.79438,Store
504027,Bowral NSW,9-15 Banyette Street,2576,-34.4821,150.41514,Store
504025,Ulladulla NSW,23 Boree Street,2539,-35.35972,150.47179,Store
504023,Minto NSW,Cnr Pembroke Rd Monagham St,2566,-34.028,150.84951,Store
504106,Brookvale NSW,3-5 Cross Street,2100,-33.7658,151.26735,Store
504032,Menai NSW,509 Old Illawarra Rd,2234,-34.01682,151.01157,Store
504037,Goulburn NSW,9-13 Clinton Lane,2580,-34.75807,149.71618,Store
504034,Canterbury NSW,73 Jeffrey St,2193,-33.91092,151.11977,Store
504007,North Strathfield NSW,"The Bakehouse Qtr,George St",2137,-33.8595,151.08693,Store
504039,Liverpool NSW,82 Hoxton Park Road,2170,-33.92767,150.90723,Store
504031,Maroubra NSW,"Shop M2, 707-751 Anzac Pde",2035,-33.94124,151.23898,Store
504017,Gungahlin ACT,Hibberson St,2912,-35.1856,149.13533,Store
504038,Hurstville NSW,"Shop A1, Park Road",2220,-33.96671,151.10429,Store
504004,Miranda NSW,600 The Kingsway,2228,-34.03459,151.100356,Store
504009,Batemans Bay NSW,Cnr Vesper St & Beach Rd,2536,-35.71,150.17778,Store
504082,Hornsby NSW,236 Pacific Hwy,2077,-33.70504,151.09939,Store
504013,Holt ACT,50-60 Hardwick Crescent,2615,-35.2212764,149.019099,Store
504103,North Sydney NSW,"Level 3, 99 Mount Street",2059,-33.83921,151.20863,Store
504030,Canberra CBD ACT,Canberra Cntr 148 Bunda St,2601,-35.27906,149.13354,Store
504085,Wentworthville NSW,331 - 339 Great Western Hwy,2145,-33.81614,150.96972,Store
504104,Manly NSW,"Shop 24A, Manly Wharf",2095,-33.79972,151.28389,Store
504097,Ryde NSW,Top Ryde Shopping Centre,2112,-33.8128,151.10602,Store
504020,Conder ACT,9 Sidney Nolan Street,2906,-35.45715,149.09283,Store
504045,Lakemba NSW,212-226 Haldon Street,2195,-33.92443,151.07981,Store
504014,Edgecliff NSW,203-233 New South Head Road,2024,-33.87905767,151.2355788,Store
504029,Macquarie ACT,"Jamison Centre, Bowman St",2614,-35.25249,149.07152,Store
504102,Chatswood NSW,Westfield Chatswood,2067,-33.79695,151.18357,Store
504024,Leichhardt NSW,Shop 21A Cnr Marion & Flood,2040,-33.88466,151.14986,Store
504036,Weston ACT,"Cooleman Court, Brierly St",2611,-35.34021,149.05255,Store
504048,Carnes Hill NSW,20 Main Street,2171,-33.93942,150.84391,Store
504044,Mittagong NSW,181-183 Old Hume Highway,2575,-34.44765,150.4399,Store
