licencenumber,licencecode,licencetype,licenseeorg,liccount,lictotal,licensees,tradingnames,address,suburb,state,postcode,dateexpiry,dateissued
14005705,OFF,Liquor - Off,Individual,1,1,Caleb Benjamin WEARNE,Caleb Wearne,"Unit IC4-5-B1, Storage King Belconnen 86 Nettlefold Street",BELCONNEN,ACT,2617,2023-02-28T00:00:00.000,2018-08-27T00:00:00.000
14001422,OFF,Liquor - Off,Company,1,1,KACH PTY LTD,Shop & Save Supermarket Spence & Evatt,193 Copland Drive,SPENCE,ACT,2615,2023-02-28T00:00:00.000,1975-11-14T00:00:00.000
14005724,OFF,Liquor - Off,Individual,1,1,Paul Maurice WILLIAMS,Pequod Wines,12 River Street,OAKS ESTATE,ACT,2620,2023-11-30T00:00:00.000,2019-11-01T00:00:00.000
14005631,OFF,Liquor - Off,Company,1,1,PELLE CAMPBELL IGA PTY LTD,Campbell IGA,Shop 5 10 Blamey Place,CAMPBELL,ACT,2612,2023-02-28T00:00:00.000,2013-03-26T00:00:00.000
14005756,OFF,Liquor - Off,Partnership,1,1,MANSOUR AND NASRIN ADIB SANAEE,Quality Selections Imp Aust,57A Nellie Hamilton Avenue,GUNGAHLIN,ACT,2912,2023-02-28T00:00:00.000,2022-04-13T00:00:00.000
14005351,OFF,Liquor - Off,Company,1,1,UV BHINDER PTY LTD,UV Bhinder Pty Ltd,1 Hackett Place,HACKETT,ACT,2602,2023-02-28T00:00:00.000,2022-09-01T00:00:00.000
14005729,OFF,Liquor - Off,Company,1,1,HEARD ST COFFEE WHOLESALERS PTY LTD,Ale Mary Brewing Company,26 Paragon Mall Lane,FYSHWICK,ACT,2609,2023-02-28T00:00:00.000,2020-02-21T00:00:00.000
14004682,OFF,Liquor - Off,Company,1,1,CHEN & SINGH PTY LTD,North Lyneham Mini Mart,"Shop 3, 3 Colville Street",LYNEHAM,ACT,2602,2023-02-28T00:00:00.000,
14005728,OFF,Liquor - Off,Company,1,1,BOOZE & BARRELS INVESTMENT PTY LTD,Booze & Barrels,2 Bunima Crescent,NGUNNAWAL,ACT,2913,2023-02-28T00:00:00.000,2020-01-24T00:00:00.000
14005755,OFF,Liquor - Off,Company,1,1,AMBROSIA DISTILLERY PTY LTD,Ambrosia Distillery Pty Ltd,"Suite 10b building 3.3, 1 Dairy Road",FYSHWICK,ACT,2609,2023-11-30T00:00:00.000,2022-03-04T00:00:00.000
